V1;E1;S1;S2;5;Spiega benissimo;2026-03-02T12:10
V2;E2;S5;S3;4;Molto chiaro;2026-03-02T13:00
V3;E3;S3;S1;2;Poco utile;2026-03-01T12:30
V4;E4;S4;S4;5;Ottima spiegazione;2026-03-03T10:00
V5;E5;S5;S5;4;Buona lezione;2026-03-03T11:00
V6;E6;S6;S6;3;Abbastanza chiaro;2026-03-02T11:30
V7;E7;S7;S7;2;Difficile da seguire;2026-03-02T12:20
V8;E8;S8;S8;5;Perfetto;2026-03-04T10:00
V9;E9;S9;S9;4;Molto utile;2026-03-04T11:00
V10;E10;S10;S10;3;Normale;2026-03-03T11:30
V11;E11;S11;S11;5;Spiegazione top;2026-03-04T12:30
V12;E12;S12;S12;2;Non chiaro;2026-03-04T09:30
V13;E13;S13;S13;4;Buono;2026-03-05T11:00
V14;E14;S14;S14;3;Così così;2026-03-04T11:00
V15;E15;S15;S15;5;Molto preparato;2026-03-05T12:30
V16;E16;S16;S16;4;Spiegazione chiara;2026-03-06T10:00
V17;E17;S17;S17;2;Poco efficace;2026-03-05T10:30
V18;E18;S18;S18;3;Nella media;2026-03-05T11:30
V19;E19;S19;S19;5;Ottimo supporto;2026-03-06T12:30
V20;E20;S20;S20;4;Molto disponibile;2026-03-07T09:30
V21;E21;S21;S21;3;Ok;2026-03-06T10:00
V22;E22;S22;S22;5;Eccellente;2026-03-07T11:00
V23;E23;S23;S23;2;Non soddisfatto;2026-03-06T11:45
V24;E24;S24;S24;4;Buon lavoro;2026-03-08T09:30
V25;E25;S25;S25;3;Accettabile;2026-03-07T10:00
V26;E26;S26;S26;5;Molto bravo;2026-03-08T10:30
V27;E27;S27;S27;4;Chiaro;2026-03-08T11:30
V28;E28;S28;S28;2;Confuso;2026-03-07T12:30
V29;E29;S29;S29;5;Ottima esperienza;2026-03-09T10:00
V30;E30;S30;S30;3;Normale;2026-03-08T10:30
V31;E31;S31;S31;4;Buona spiegazione;2026-03-09T11:30
V32;E32;S32;S32;5;Perfetto;2026-03-09T12:30
V33;E33;S33;S33;2;Scarso;2026-03-09T09:30
V34;E34;S34;S34;3;Così così;2026-03-09T10:30
V35;E35;S35;S35;5;Molto utile;2026-03-10T11:30
V36;E36;S36;S36;4;Chiaro e preciso;2026-03-10T12:00
V37;E37;S37;S37;3;Ok;2026-03-10T09:00
V38;E38;S38;S38;5;Ottimo;2026-03-11T10:30
V39;E39;S39;S39;2;Non chiaro;2026-03-10T10:30
V40;E40;S40;S40;4;Buono;2026-03-11T11:30
V41;E41;S41;S41;3;Nella media;2026-03-10T12:00
V42;E42;S42;S42;5;Eccellente;2026-03-12T09:30
V43;E43;S43;S43;4;Molto buono;2026-03-12T10:30
V44;E44;S44;S44;2;Scarso;2026-03-11T11:30
V45;E45;S45;S45;3;Così così;2026-03-11T12:30
V46;E46;S46;S46;5;Ottimo supporto;2026-03-13T09:30
V47;E47;S47;S47;4;Chiaro;2026-03-13T10:30
V48;E48;S48;S48;2;Non soddisfatto;2026-03-12T11:30
V49;E49;S49;S49;5;Perfetto;2026-03-13T12:30
V50;E50;S50;S50;3;Normale;2026-03-12T12:30